"Account Name","Vertical","Status","ABC ID","Date"
"All American Chevrolet of Midland","US Automotive","Live","","09/26/2014 05:50 AM"
"All American Chevrolet of Odessa","US Automotive","Live","","11/25/2014 11:30 AM"
"All American Chevrolet of San Angelo","US Automotive","Live","","02/03/2015 10:51 AM"
"All American Chrysler Jeep Dodge of Midland","US Automotive","Live","","09/12/2014 11:33 AM"
"All American Chrysler Jeep Dodge of Odessa","US Automotive","Live","","09/12/2014 11:15 AM"
"All American Chrysler Jeep Dodge of San Angelo","US Automotive","Tracking","","06/12/2014 01:44 AM"
"All American Coach Co","Powersports","Tracking","","09/06/2012 08:03 PM"
"Allan Nott Honda","US Automotive","Deploying","","04/07/2016 04:35 PM"
"Allan Vigil Ford Lincoln Mercury","US Automotive","Tracking","",""
"Allen Cadillac GMC","US Automotive","Deploying","","05/05/2016 06:52 PM"
"Allen Hyundai","US Automotive","Deploying","","07/26/2016 04:27 PM"
"Allen Samuels Dodge Chrysler Jeep","US Automotive","Tracking","","06/21/2012 06:46 PM"
"Allen Turner Hyundai","US Automotive","Deploying","","07/26/2016 05:35 PM"
"Allergy & Asthma Consultants - Ashley Crossing","Medical","Cancelled","","05/09/2013 06:26 AM"
"Allergy & Asthma Consultants - Morgan Place","Medical","Cancelled","","05/09/2013 06:27 AM"
"Allergy & Asthma Consultants - Wingo Way","Medical","Cancelled","","05/09/2013 06:26 AM"
"All Inclusive Moving & Storage LLC","Moving Companies","Tracking","",""
"All In One Moving","Moving Companies","Tracking","",""
"All My Sons Moving & Storage of Atlanta","Moving Companies","Tracking","","04/26/2012 08:53 PM"
"All My Sons Moving & Storage Of Dallas","Moving Companies","Tracking","","04/26/2012 08:30 PM"
"All My Sons Moving & Storage of Hilton Head","Moving Companies","Tracking","","04/26/2012 08:54 PM"
"All My Sons Moving & Storage of Illinois","Moving Companies","Tracking","","04/26/2012 08:31 PM"
"All My Sons Moving & Storage of Raleigh","Moving Companies","Tracking","","04/26/2012 08:32 PM"
"All My Sons Moving & Storage of Virginia","Moving Companies","Tracking","","04/26/2012 08:52 PM"
"Allstar Kia","US Automotive","Deploying","","04/06/2015 07:13 PM"
"ALLSTAR KIA","US Automotive","Deploying","","04/02/2015 03:44 AM"
"All Star Volvo of Baton Rouge","Transportation","Tracking","","02/04/2016 10:05 PM"
"Almartin Volvo Cars","US Automotive","Tracking","","01/31/2016 06:22 PM"
"Aloft Winchester - 56342819","Hotels","Cancelled","","11/05/2015 06:58 AM"
"Aloha Kia","US Automotive","Tracking","","02/27/2013 06:56 PM"
"ALOHA KIA LEEWARD","US Automotive","Deploying","","03/30/2015 07:32 PM"
"Al Piemonte Chevrolet","US Automotive","Tracking","","06/25/2015 02:12 AM"
"Al Piemonte Chrysler Dodge Jeep","US Automotive","Deploying","","08/26/2014 03:30 PM"
"Al Piemonte Nissan","US Automotive","Deploying","","01/16/2015 06:44 AM"
"Alpine Buick GMC","US Automotive","Cancelled","","02/11/2016 05:50 AM"
"Alpine Buick GMC - DO NOT USE","US Automotive","Tracking","","01/15/2014 08:07 PM"
"Alpine Inn","Hotels","Cancelled","","11/05/2015 06:56 AM"
"Alpine Inn Anaheim - 2768021","Hotels","Cancelled","","11/05/2015 06:45 AM"
"Alpine Inn Frisco","Hotels","Cancelled","","11/05/2015 06:53 AM"
"Alpine Inn  Gunnison","Hotels","Cancelled","","11/05/2015 06:49 AM"
"Alpine Lodge (Gaylord, MI)","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Al Serra Buick GMC Cadillac","US Automotive","Deploying","","06/01/2015 10:10 PM"
"Al Serra Chevrolet North","US Automotive","Live","","01/28/2016 07:22 AM"
"Al Serra Chevrolet North - DO NOT USE","US Automotive","Tracking","","02/25/2014 07:07 PM"
"Al Serra Chevrolet South","US Automotive","Live","","01/13/2016 07:16 AM"
"Al Serra Volkswagen","US Automotive","Live","","11/23/2015 10:02 AM"
"Al West Chrysler","US Automotive","Tracking","","08/13/2013 08:40 PM"
"Amanda H. Hendricks, MD, FAAP","Medical","Cancelled","","05/09/2013 06:32 AM"
"Amato Hyundai Superstore","US Automotive","Deploying","","11/12/2015 10:30 AM"
